Quarter,SGA_Expense
Q1 2026,7.492
Q4 2025,7.048
Q3 2025,6.65
Q2 2025,6.728
Q1 2025,7.175
Q4 2024,6.523
Q3 2024,6.32
Q2 2024,6.468
Q1 2024,6.786
Q4 2023,6.151
Q3 2023,5.973
Q2 2023,6.201
Q1 2023,6.607
Q4 2022,6.44
Q3 2022,6.012
Q2 2022,6.193
Q1 2022,6.449
Q4 2021,5.616
Q3 2021,5.412
Q2 2021,5.314
Q1 2021,5.631
Q4 2020,4.936
Q3 2020,4.831
Q2 2020,4.952
Q1 2020,5.197
Q4 2019,4.578
Q3 2019,4.426
Q2 2019,4.458
Q1 2019,4.783
Q4 2018,4.216
Q3 2018,4.108
Q2 2018,4.15
Q1 2018,4.231
Q4 2017,3.814
Q3 2017,3.783
Q2 2017,3.718
Q1 2017,3.946
Q4 2016,3.482
Q3 2016,3.441
Q2 2016,3.423
Q1 2016,3.848
Q4 2015,3.705
Q3 2015,3.564
Q2 2015,3.46
Q1 2015,3.6
Q4 2014,3.158
Q3 2014,2.85
Q2 2014,2.932
Q1 2014,3.053
Q4 2013,2.673
Q3 2013,2.645
Q2 2013,2.672
Q1 2013,2.84
Q4 2012,2.551
Q3 2012,2.545
Q2 2012,2.339
Q1 2012,2.605
