Quarter,Market_Vendor,Market_Share
2013Q1,Apple,76.98
2013Q2,Apple,76.14
2013Q3,Apple,74.31
2013Q4,Apple,73.86
2014Q1,Apple,72.59
2014Q2,Apple,71.33
2014Q3,Apple,72.12
2014Q4,Apple,69.84
2015Q1,Apple,66.46
2015Q2,Apple,65.49
2015Q3,Apple,65.46
2015Q4,Apple,65.88
2016Q1,Apple,66.04
2016Q2,Apple,65.47
2016Q3,Apple,65.62
2016Q4,Apple,66.31
2017Q1,Apple,66.03
2017Q2,Apple,64.98
2017Q3,Apple,64.88
2017Q4,Apple,66.25
2018Q1,Apple,65.32
2018Q2,Apple,66.25
2018Q3,Apple,66.99
2018Q4,Apple,72.39
2019Q1,Apple,72.76
2019Q2,Apple,70.81
2019Q3,Apple,71.68
2019Q4,Apple,64.22
2020Q1,Apple,60.23
2020Q2,Apple,59.74
2020Q3,Apple,58.74
2020Q4,Apple,58.09
2021Q1,Apple,56.17
2021Q2,Apple,55.31
2021Q3,Apple,54.98
2021Q4,Apple,55.52
2022Q1,Apple,54.19
2022Q2,Apple,53.27
2022Q3,Apple,51.67
2022Q4,Apple,50.89
2023Q1,Apple,51.86
2023Q2,Apple,54.63
2023Q3,Apple,54.79
2023Q4,Apple,54.38
2024Q1,Apple,53.98
2024Q2,Apple,55.54
2024Q3,Apple,55.87
2024Q4,Apple,54.07
2025Q1,Apple,51.78
2025Q2,Apple,49.21
2025Q3,Apple,49.53
2025Q4,Apple,52.21
2026Q1,Apple,52.8
2026Q2,Apple,51.28
2013Q1,Samsung,9.05
2013Q2,Samsung,10.72
2013Q3,Samsung,11.59
2013Q4,Samsung,10.83
2014Q1,Samsung,11.44
2014Q2,Samsung,13.27
2014Q3,Samsung,13.25
2014Q4,Samsung,14.96
2015Q1,Samsung,15.91
2015Q2,Samsung,15.99
2015Q3,Samsung,16.46
2015Q4,Samsung,16.81
2016Q1,Samsung,16.55
2016Q2,Samsung,17.38
2016Q3,Samsung,17.27
2016Q4,Samsung,17.64
2017Q1,Samsung,17.72
2017Q2,Samsung,18.75
2017Q3,Samsung,18.77
2017Q4,Samsung,17.75
2018Q1,Samsung,18.03
2018Q2,Samsung,17.62
2018Q3,Samsung,17.46
2018Q4,Samsung,14.3
2019Q1,Samsung,14.75
2019Q2,Samsung,15.76
2019Q3,Samsung,15.46
2019Q4,Samsung,18.74
2020Q1,Samsung,20.78
2020Q2,Samsung,21.07
2020Q3,Samsung,22.01
2020Q4,Samsung,23.27
2021Q1,Samsung,25.06
2021Q2,Samsung,26.2
2021Q3,Samsung,26.58
2021Q4,Samsung,26.57
2022Q1,Samsung,27.99
2022Q2,Samsung,28.51
2022Q3,Samsung,29.22
2022Q4,Samsung,30.08
2023Q1,Samsung,30.01
2023Q2,Samsung,27.88
2023Q3,Samsung,27.88
2023Q4,Samsung,27.7
2024Q1,Samsung,26.29
2024Q2,Samsung,25.72
2024Q3,Samsung,24.73
2024Q4,Samsung,26.13
2025Q1,Samsung,26.87
2025Q2,Samsung,27.74
2025Q3,Samsung,26.37
2025Q4,Samsung,24.98
2026Q1,Samsung,24.83
2026Q2,Samsung,25.79
2013Q1,Unknown,4.65
2013Q2,Unknown,4.46
2013Q3,Unknown,5.62
2013Q4,Unknown,7.03
2014Q1,Unknown,6.56
2014Q2,Unknown,4.92
2014Q3,Unknown,4.43
2014Q4,Unknown,4.67
2015Q1,Unknown,5.42
2015Q2,Unknown,6.63
2015Q3,Unknown,7.1
2015Q4,Unknown,7.39
2016Q1,Unknown,7.93
2016Q2,Unknown,7.68
2016Q3,Unknown,8.32
2016Q4,Unknown,7.09
2017Q1,Unknown,5.26
2017Q2,Unknown,4.71
2017Q3,Unknown,4.86
2017Q4,Unknown,4.98
2018Q1,Unknown,5.38
2018Q2,Unknown,5.07
2018Q3,Unknown,4.79
2018Q4,Unknown,6.11
2019Q1,Unknown,5.97
2019Q2,Unknown,4.38
2019Q3,Unknown,4.16
2019Q4,Unknown,5.35
2020Q1,Unknown,5.08
2020Q2,Unknown,4.6
2020Q3,Unknown,4.47
2020Q4,Unknown,4.11
2021Q1,Unknown,4.42
2021Q2,Unknown,4.46
2021Q3,Unknown,5.17
2021Q4,Unknown,5.68
2022Q1,Unknown,6.0
2022Q2,Unknown,6.24
2022Q3,Unknown,7.13
2022Q4,Unknown,7.0
2023Q1,Unknown,7.23
2023Q2,Unknown,6.94
2023Q3,Unknown,7.17
2023Q4,Unknown,7.37
2024Q1,Unknown,10.13
2024Q2,Unknown,7.05
2024Q3,Unknown,6.37
2024Q4,Unknown,5.94
2025Q1,Unknown,6.99
2025Q2,Unknown,7.68
2025Q3,Unknown,8.6
2025Q4,Unknown,8.48
2026Q1,Unknown,8.65
2026Q2,Unknown,9.05
2013Q1,Amazon,3.47
2013Q2,Amazon,3.22
2013Q3,Amazon,3.18
2013Q4,Amazon,3.11
2014Q1,Amazon,3.39
2014Q2,Amazon,2.94
2014Q3,Amazon,2.88
2014Q4,Amazon,2.64
2015Q1,Amazon,2.79
2015Q2,Amazon,2.73
2015Q3,Amazon,2.53
2015Q4,Amazon,1.64
2016Q1,Amazon,1.48
2016Q2,Amazon,1.39
2016Q3,Amazon,1.35
2016Q4,Amazon,1.44
2017Q1,Amazon,2.26
2017Q2,Amazon,2.4
2017Q3,Amazon,2.61
2017Q4,Amazon,2.64
2018Q1,Amazon,2.94
2018Q2,Amazon,3.44
2018Q3,Amazon,3.54
2018Q4,Amazon,1.93
2019Q1,Amazon,1.82
2019Q2,Amazon,3.23
2019Q3,Amazon,3.35
2019Q4,Amazon,4.09
2020Q1,Amazon,5.15
2020Q2,Amazon,5.49
2020Q3,Amazon,5.43
2020Q4,Amazon,5.3
2021Q1,Amazon,5.33
2021Q2,Amazon,5.25
2021Q3,Amazon,5.46
2021Q4,Amazon,5.11
2022Q1,Amazon,4.74
2022Q2,Amazon,4.73
2022Q3,Amazon,5.0
2022Q4,Amazon,5.33
2023Q1,Amazon,4.78
2023Q2,Amazon,4.37
2023Q3,Amazon,4.02
2023Q4,Amazon,3.63
2024Q1,Amazon,3.3
2024Q2,Amazon,5.02
2024Q3,Amazon,5.56
2024Q4,Amazon,5.84
2025Q1,Amazon,6.08
2025Q2,Amazon,6.49
2025Q3,Amazon,6.62
2025Q4,Amazon,6.2
2026Q1,Amazon,6.01
2026Q2,Amazon,5.79
2013Q1,Asus,0.86
2013Q2,Asus,0.72
2013Q3,Asus,0.63
2013Q4,Asus,0.55
2014Q1,Asus,0.97
2014Q2,Asus,1.4
2014Q3,Asus,1.42
2014Q4,Asus,1.55
2015Q1,Asus,1.66
2015Q2,Asus,1.65
2015Q3,Asus,1.52
2015Q4,Asus,1.44
2016Q1,Asus,1.26
2016Q2,Asus,1.09
2016Q3,Asus,0.96
2016Q4,Asus,1.09
2017Q1,Asus,1.36
2017Q2,Asus,1.39
