Quarter,Gross_Margin,SGA_Expense,Market_Share,Sales_Revenue,Net_Sales,Tablet_Shippments,RD_Expense
2026Q1,48.15868555051616,7.492,52.8,8.6,5.98,31.048936170212766,10.887
2025Q4,47.177600374758455,7.048,52.21,6.95,6.78,41.9,8.866
2025Q3,46.49070568718364,6.65,49.53,6.58,7.0,34.7,8.866
2025Q2,47.05061923887624,6.728,49.21,6.4,9.45,33.1,8.55
2025Q1,46.882542236524536,7.175,51.78,8.09,6.5,31.048936170212766,8.268
2024Q4,46.22247972190035,6.523,54.07,6.95,7.32,31.048936170212766,7.765
2024Q3,46.2571551814589,6.32,55.87,7.16,8.35,31.6,8.006
2024Q2,46.578074554009234,6.468,55.54,5.56,6.13,36.6,7.903
2024Q1,45.87497386577462,6.786,53.98,7.02,5.87,32.0,7.696
2023Q4,45.17084180652082,6.151,54.38,6.44,7.2,40.6,7.307
2023Q3,44.5163025538834,5.973,54.79,5.79,7.08,37.5,7.442
2023Q2,44.26167278248767,6.201,54.63,6.67,7.03,37.0,7.457
2023Q1,42.96225480990832,6.607,51.86,9.4,8.02,35.2,7.709
2022Q4,42.25922392563175,6.44,64.98,6.4,8.71,31.048936170212766,6.761
2022Q3,43.25630733253776,6.012,64.98,6.4,8.71,31.048936170212766,6.797
2022Q2,43.7498715022924,6.193,53.27,7.65,7.9,31.0,6.387
2022Q1,43.76376618661503,6.449,54.19,7.25,5.8,31.5,6.306
2021Q4,42.19529750479846,5.616,55.52,8.25,9.9,38.0,5.772
2021Q3,43.29272785323084,5.412,54.98,7.37,9.05,34.6,5.717
2021Q2,42.50647437042329,5.314,55.31,7.81,8.71,31.9,5.262
2021Q1,39.777815665969726,5.631,56.17,8.44,7.56,31.7,5.163
2020Q4,38.16037590033695,4.936,58.09,6.8,10.5,36.5,4.978
2020Q3,37.99949736114602,4.831,58.74,6.58,11.03,30.0,4.758
2020Q2,38.36194330595236,4.952,59.74,4.37,7.49,32.1,4.565
2020Q1,38.35480673934589,5.197,60.23,5.98,6.51,30.0,4.451
2019Q4,37.96533416614616,4.578,64.22,4.66,10.92,36.5,4.11
2019Q3,37.59036592391608,4.426,71.68,5.02,9.33,31.1,4.257
2019Q2,37.61268637421357,4.458,70.81,4.87,8.4,38.1,3.948
2019Q1,37.99193452733958,4.783,72.76,6.73,8.67,31.048936170212766,3.902
2018Q4,38.28934817170112,4.216,72.39,4.09,6.5,29.6,3.75
2018Q3,38.33849619825401,4.108,66.99,4.63,8.9,26.6,3.701
2018Q2,38.310679294044526,4.15,66.25,4.01,6.73,34.1,3.378
2018Q1,38.4084808535218,4.231,65.32,5.86,6.64,28.8,3.407
2017Q4,37.90676886209323,3.814,66.25,4.83,9.37,26.6,2.997
2017Q3,38.513037350246655,3.783,64.88,4.97,10.94,25.8,2.937
2017Q2,38.9273290986086,3.718,64.98,3.89,7.35,30.1,2.776
2017Q1,38.51386708529566,3.946,66.03,5.53,7.06,24.9,2.871
2016Q4,38.0197216767694,3.482,66.31,4.26,9.08,24.7,2.57
2016Q3,38.02351385806696,3.441,65.62,4.88,11.51,21.5,2.56
2016Q2,39.403050022746605,3.423,65.47,4.41,8.73,25.4,2.511
2016Q1,40.097796288485874,3.848,66.04,7.08,9.34,25.9,2.404
2015Q4,39.89825440282713,3.705,65.88,4.28,8.3,24.3,2.22
2015Q3,39.67543594395726,3.564,65.46,4.54,9.15,19.6,2.034
2015Q2,40.77917600413722,3.46,65.49,5.43,9.36,24.9,1.918
2015Q1,39.86782664646979,3.6,66.46,8.99,12.04,27.2,1.895
2014Q4,38.0053652398927,3.158,69.84,5.32,12.63,28.1,1.686
2014Q3,39.36471468262449,2.85,72.12,5.89,15.73,22.1,1.603
2014Q2,39.31779345397187,2.932,71.33,7.61,16.67,27.7,1.422
2014Q1,37.93103448275862,3.053,72.59,11.47,19.91,32.7,1.33
2013Q4,37.01697267292912,2.673,73.86,6.19,16.51,33.1,1.168
2013Q3,36.87116043371175,2.645,74.31,6.37,18.04,29.2,1.178
2013Q2,37.49512648212279,2.672,76.14,8.75,20.06,33.0,1.119
2013Q1,38.63369533313766,2.84,76.98,10.67,19.58,40.2,1.01
