Quarter,Market_Share,Sales_Revenue,Net_Sales,Tablet_Shippments
Q1 2013,76.98,10.67,19.58,40.2
Q2 2013,76.14,8.75,20.06,33.0
Q3 2013,74.31,6.37,18.04,29.2
Q4 2013,73.86,6.19,16.51,33.1
Q1 2014,72.59,11.47,19.91,32.7
Q2 2014,71.33,7.61,16.67,27.7
Q3 2014,72.12,5.89,15.73,22.1
Q4 2014,69.84,5.32,12.63,28.1
Q1 2015,66.46,8.99,12.04,27.2
Q2 2015,65.49,5.43,9.36,24.9
Q3 2015,65.46,4.54,9.15,19.6
Q4 2015,65.88,4.28,8.3,24.3
Q1 2016,66.04,7.08,9.34,25.9
Q2 2016,65.47,4.41,8.73,25.4
Q3 2016,65.62,4.88,11.51,21.5
Q4 2016,66.31,4.26,9.08,24.7
Q1 2017,66.03,5.53,7.06,24.9
Q2 2017,64.98,3.89,7.35,30.1
Q3 2017,64.88,4.97,10.94,25.8
Q4 2017,66.25,4.83,9.37,26.6
Q1 2018,65.32,5.86,6.64,28.8
Q2 2018,66.25,4.01,6.73,34.1
Q3 2018,66.99,4.63,8.9,26.6
Q4 2018,72.39,4.09,6.5,29.6
Q1 2019,72.76,6.73,8.67,
Q2 2019,70.81,4.87,8.4,38.1
Q3 2019,71.68,5.02,9.33,31.1
Q4 2019,64.22,4.66,10.92,36.5
Q1 2020,60.23,5.98,6.51,30.0
Q2 2020,59.74,4.37,7.49,32.1
Q3 2020,58.74,6.58,11.03,30.0
Q4 2020,58.09,6.8,10.5,36.5
Q1 2021,56.17,8.44,7.56,31.7
Q2 2021,55.31,7.81,8.71,31.9
Q3 2021,54.98,7.37,9.05,34.6
Q4 2021,55.52,8.25,9.9,38.0
Q1 2022,54.19,7.25,5.8,31.5
Q2 2022,53.27,7.65,7.9,31.0
Q1 2023,51.86,9.4,8.02,35.2
Q2 2023,54.63,6.67,7.03,37.0
Q3 2023,54.79,5.79,7.08,37.5
Q4 2023,54.38,6.44,7.2,40.6
Q1 2024,53.98,7.02,5.87,32.0
Q2 2024,55.54,5.56,6.13,36.6
Q3 2024,55.87,7.16,8.35,31.6
Q4 2024,54.07,6.95,7.32,
Q1 2025,51.78,8.09,6.5,
Q2 2025,49.21,6.4,9.45,33.1
Q3 2025,49.53,6.58,7.0,34.7
Q4 2025,52.21,6.95,6.78,41.9
Q1 2026,52.8,8.6,5.98,
